feature_set,model_or_ensemble,n_test,TP,FN,TN,FP,accuracy,precision,recall,f1,specificity,fnr,fpr,mcc,seed
modified,LR,2500,17,68,2408,7,0.97,0.7083333333333334,0.2,0.3119266055045872,0.9971014492753624,0.8,0.002898550724637681,0.36633372919468465,13
modified,GBC,2500,70,15,2403,12,0.9892,0.8536585365853658,0.8235294117647058,0.8383233532934131,0.9950310559006211,0.17647058823529413,0.004968944099378882,0.832882472141125,13
modified,Traditional Voting,2500,42,43,2409,6,0.9804,0.875,0.49411764705882355,0.631578947368421,0.9975155279503105,0.5058823529411764,0.002484472049689441,0.6492745199890226,13
modified,OR-Logic,2500,71,14,2391,24,0.9848,0.7473684210526316,0.8352941176470589,0.7888888888888889,0.9900621118012423,0.16470588235294117,0.009937888198757764,0.7823302458177731,13
modified,SVM,2500,26,59,2409,6,0.974,0.8125,0.3058823529411765,0.4444444444444444,0.9975155279503105,0.6941176470588235,0.002484472049689441,0.4891398056457917,14
modified,RF,2500,66,19,2409,6,0.99,0.9166666666666666,0.7764705882352941,0.8407643312101911,0.9975155279503105,0.2235294117647059,0.002484472049689441,0.8387076635594377,14
modified,KNN,2500,32,53,2402,13,0.9736,0.7111111111111111,0.3764705882352941,0.4923076923076923,0.9946169772256729,0.6235294117647059,0.005383022774327122,0.5058391364295378,14
modified,LR,2500,16,69,2405,10,0.9684,0.6153846153846154,0.18823529411764706,0.2882882882882883,0.9958592132505176,0.8117647058823529,0.004140786749482402,0.32886854726933723,14
modified,GBC,2500,65,20,2412,3,0.9908,0.9558823529411765,0.7647058823529411,0.849673202614379,0.9987577639751553,0.23529411764705882,0.0012422360248447205,0.8505897616968663,14
modified,Traditional Voting,2500,36,49,2411,4,0.9788,0.9,0.4235294117647059,0.576,0.998343685300207,0.5764705882352941,0.0016563146997929607,0.6093296513734588,14
modified,OR-Logic,2500,71,14,2388,27,0.9836,0.7244897959183674,0.8352941176470589,0.7759562841530054,0.9888198757763975,0.16470588235294117,0.011180124223602485,0.7695835562527128,14
modified,SVM,2500,30,55,2410,5,0.976,0.8571428571428571,0.35294117647058826,0.5,0.9979296066252588,0.6470588235294118,0.002070393374741201,0.5412186486481134,15
modified,RF,2500,62,23,2407,8,0.9876,0.8857142857142857,0.7294117647058823,0.7999999999999998,0.9966873706004141,0.27058823529411763,0.0033126293995859213,0.7976489414081807,15
modified,KNN,2500,26,59,2403,12,0.9716,0.6842105263157895,0.3058823529411765,0.4227642276422765,0.9950310559006211,0.6941176470588235,0.004968944099378882,0.44573193251617677,15
